CODI_ESTACIO;NOM_ESTACIO;LATITUD;LONGITUD;Georeferència;EMPLACAMENT;ALTITUD;NOM_MUNICIPI;NOM_COMARCA;CODI_ESTAT;NOM_ESTAT;DATA_ALTA
DG;Núria (1.971 m);4.239.848;215.517;POINT (2.15517 42.39848);Santuari de Núria;1971.4;Queralbs;Ripollès;2;Operativa;05/15/1998 12:00:00 AM
ZC;Ulldeter (2.410 m);4.242.117;224.565;POINT (2.24565 42.42117);Ulldeter;2410;Setcases;Ripollès;2;Operativa;09/28/2011 12:00:00 AM
VA;Ascó;4.119.645;0.51161;POINT (0.51161 41.19645);Camí de la Serra de les Moncas;257;Ascó;Ribera d'Ebre;2;Operativa;06/15/1998 12:00:00 AM
VC;Pantà de Riba-roja;4.124.415;0.43266;POINT (0.43266 41.24415);Presa de Riba-roja;69;Riba-roja d'Ebre;Ribera d'Ebre;2;Operativa;11/18/1996 12:00:00 AM
D7;Vinebre;4.118.499;0.59376;POINT (0.59376 41.18499);Partida de Mallols;53;Vinebre;Ribera d'Ebre;2;Operativa;01/22/1998 12:00:00 AM
Y6;Tivissa;4.104.343;0.74032;POINT (0.74032 41.04343);-;317;Tivissa;Ribera d'Ebre;2;Operativa;03/26/2015 12:00:00 AM
VB;Benissanet;4.106.289;0.63517;POINT (0.63517 41.06289);Grup Fruiter Benissanet, crta. de Mora, s/n;32;Benissanet;Ribera d'Ebre;2;Operativa;07/14/1993 12:00:00 AM
D1;Margalef;4.128.521;0.75383;POINT (0.75383 41.28521);Dipòsit d'aigua;404;Margalef;Priorat;2;Operativa;01/14/1996 12:00:00 AM
CZ;Ulldemolins - Zona Esportiva;413.191;0.87868;POINT (0.87868 41.3191);Poliesportiu municipal;631;Ulldemolins;Priorat;1;Desmantellada;03/04/1996 0:00
WJ;el Masroig;411.223;0.72182;POINT (0.72182 41.1223);Finca Terranova;141;El Masroig;Priorat;2;Operativa;06/20/2000 12:00:00 AM
WR;Torroja del Priorat;412.163;0.79748;POINT (0.79748 41.2163);Ref.cadastral: Pol. 3, parc. 38;300;Torroja del Priorat;Priorat;2;Operativa;11/27/2003 12:00:00 AM
MR;Pantà de Siurana;4.125.079;0.9106;POINT (0.9106 41.25079);Pantà de Siurana - Xalet del Pantà;500;Cornudella de Montsant;Priorat;2;Operativa;11/08/2010 0:00
CH;Falset - Escola;4.115.076;0.82357;POINT (0.82357 41.15076);Col·legi Públic Antoni Vilanova;350;Falset;Priorat;1;Desmantellada;12/01/1995 0:00
XD;Ulldemolins;41.32;0.8857;POINT (0.8857 41.32);Pigrossos;687;Ulldemolins;Priorat;2;Operativa;04/17/2008 12:00:00 AM
X1;Falset;4.115.374;0.81953;POINT (0.81953 41.15374);Abocador comarcal. Crta de Porrera;359;Falset;Priorat;2;Operativa;12/20/2006 12:00:00 AM
C6;Castellnou de Seana;416.566;0.95172;POINT (0.95172 41.6566);Abocador comarcal;264;Castellnou de Seana;Pla d'Urgell;2;Operativa;12/16/1995 12:00:00 AM
V8;el Poal;4.167.279;0.87741;POINT (0.87741 41.67279);Finca el Molinet, c. Afores, s/n;223;El Poal;Pla d'Urgell;2;Operativa;09/14/1989 12:00:00 AM
WH;Bellvís;4.167.342;0.8129;POINT (0.8129 41.67342);Molí de Balaguer, crta. de Térmens;196;Bellvís;Pla d'Urgell;1;Desmantellada;09/17/1997 12:00:00 AM
V9;Miralcamp;4.161.333;0.87608;POINT (0.87608 41.61333);Partida la Boletera;256;Miralcamp;Pla d'Urgell;1;Desmantellada;09/26/1997 12:00:00 AM
