,data,CO max,H2S max,NO max,NO2 max,NOx max,PM1 max,PM10 max,PM2.5 max,SO2 max,CO,H2S,NO,NO2,NOx,PM1,PM10,PM2.5,SO2
2106,2015-10-29,,1.7,89.0,103.0,200.0,,25.0,16.0,5.0,,1.1458333333333333,15.708333333333334,32.5,56.166666666666664,,11.958333333333334,6.291666666666667,4.25
2107,2015-10-30,,2.3,40.0,96.0,156.0,,27.0,21.0,7.0,,1.0708333333333333,11.791666666666666,41.041666666666664,58.708333333333336,,15.416666666666666,10.5,4.833333333333333
2108,2015-10-31,,1.1,16.0,107.0,131.0,,32.0,26.0,6.0,,1.0041666666666667,4.875,33.333333333333336,40.166666666666664,,14.833333333333334,12.041666666666666,5.041666666666667
2109,2015-11-01,,1.1,8.0,42.0,50.0,,44.0,24.0,8.0,,1.0125000000000002,2.2083333333333335,22.333333333333332,25.333333333333332,,28.416666666666668,18.916666666666668,4.75
2110,2015-11-02,,1.1,2.0,16.0,17.0,,25.0,19.0,6.0,,1.0041666666666667,1.0833333333333333,11.791666666666666,13.0,,18.125,14.833333333333334,4.291666666666667
2111,2015-11-03,,1.4,49.0,99.0,174.0,,38.0,32.0,7.0,,1.0499999999999998,10.416666666666666,35.75,51.333333333333336,,17.25,11.208333333333334,5.083333333333333
2112,2015-11-04,,2.9,47.0,73.0,122.0,,33.0,28.0,7.0,,1.4857142857142858,10.125,39.166666666666664,54.166666666666664,,14.833333333333334,10.125,3.9130434782608696
2113,2015-11-05,,2.7,51.0,70.0,144.0,,28.0,21.0,5.0,,1.625,14.0,39.42857142857143,60.476190476190474,,15.333333333333334,11.416666666666666,1.9166666666666667
2114,2015-11-06,,4.6,58.0,99.0,145.0,,63.0,54.0,12.0,,2.129166666666667,13.625,41.958333333333336,62.541666666666664,,27.166666666666668,22.208333333333332,2.5416666666666665
2115,2015-11-07,,5.9,22.0,76.0,86.0,,50.0,47.0,5.0,,2.05,7.0,41.625,51.958333333333336,,28.791666666666668,25.333333333333332,1.375
2116,2015-11-08,,3.0,19.0,73.0,101.0,,48.0,44.0,5.0,,1.9500000000000002,4.0,33.041666666666664,38.791666666666664,,26.708333333333332,24.041666666666668,1.5833333333333333
2117,2015-11-09,,4.5,57.0,56.0,137.0,,31.0,25.0,1.0,,2.7052631578947373,15.583333333333334,32.208333333333336,55.333333333333336,,21.0,17.25,1.0
